#,prjId,Period,Time,StartDate,EndDate,forks,members,commits,issues,watchers,pullReq,CmtCmnt,pullReqCmnt,PR Issue Cmnt,issueCmnt,committers,MemCommitters,PRClosedCnt,IssueClosedCnt,PRClosedTime,IssueClosedTime,Health,Licence,ContribFile,MemIssue,NonMemIssue,OwnerFollower,AvgFollower,OwnerType,MemCommit
528,112304,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,1,7,241,0,5,0,0,0,0,0,9,5,0,0,,,50,Other,,0,0,1,2,ORG,5
529,115413,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,0,3,0,2,4,0,0,0,0,0,0,0,0,0,,,33,,,2,0,14,9,USR,0
530,115413,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,0,3,0,7,4,0,0,0,0,0,0,0,0,0,,,33,,,2,2,15,10,USR,0
531,115413,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,0,4,0,14,6,0,0,0,0,0,0,0,0,0,,,33,,,3,3,16,8,USR,0
532,115413,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,0,4,70,17,6,0,0,0,0,3,4,3,0,0,,,33,,,3,3,16,8,USR,3
533,115413,2012-1,5,1/01/2012 12:00:00 a.m.,1/04/2012 12:00:00 a.m.,0,4,71,17,8,0,0,0,0,3,4,3,0,0,,,33,,,3,3,17,8,USR,3
534,115413,2012-4,6,1/04/2012 12:00:00 a.m.,1/07/2012 12:00:00 a.m.,0,4,80,18,9,0,0,0,0,3,5,3,0,0,,,33,,,3,3,17,8,USR,3
535,115413,2012-7,7,1/07/2012 12:00:00 a.m.,1/10/2012 12:00:00 a.m.,0,4,92,20,11,0,0,0,0,3,5,3,0,0,,,33,,,3,3,17,8,USR,3
536,115413,2012-10,8,1/10/2012 12:00:00 a.m.,1/01/2013 12:00:00 a.m.,1,5,97,21,11,0,0,0,0,8,6,4,0,0,,,33,,,4,3,17,6,USR,4
545,120098,2011-1,1,1/01/2011 12:00:00 a.m.,1/04/2011 12:00:00 a.m.,5,3,2,9,72,3,0,0,0,13,1,1,2,3,44.71666667,2893.766667,66,MIT License,https://api.github.com/repos/GraylinKim/sc2reader/contents/CONTRIBUTING.md,2,3,0,3,USR,1
546,120098,2011-4,2,1/04/2011 12:00:00 a.m.,1/07/2011 12:00:00 a.m.,8,4,11,24,81,15,0,0,0,31,3,1,10,17,3275.523333,9346.45098,66,MIT License,https://api.github.com/repos/GraylinKim/sc2reader/contents/CONTRIBUTING.md,3,8,0,2,USR,1
547,120098,2011-7,3,1/07/2011 12:00:00 a.m.,1/10/2011 12:00:00 a.m.,13,5,109,36,88,22,0,0,5,69,6,2,14,32,2418.22619,26223.71198,66,MIT License,https://api.github.com/repos/GraylinKim/sc2reader/contents/CONTRIBUTING.md,3,13,0,3,USR,2
548,120098,2011-10,4,1/10/2011 12:00:00 a.m.,1/01/2012 12:00:00 a.m.,14,5,160,41,90,29,0,0,6,76,6,2,19,38,2136.787719,22261.66096,66,MIT License,https://api.github.com/repos/GraylinKim/sc2reader/contents/CONTRIBUTING.md,3,14,0,3,USR,2
